t(s),Flux surface 1: solute,Flux surface 2: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
225025.5995468484,2.250505193823254e+16,-4.1424796068502715e-67,3.965640716676163e+20,6.1893760780462785e-25,8.580436883485854e-27,7.231997820249551e+21,2.5756286515797647e+18,3.4524477748911333e-29,1.4577418493941138e-31,8.131127822863989e-25,7.631137520568831e+21,6.189721322823764e-25,8.216933649440695e-25
271030.71945621807,2.1093224602887244e+16,-8.146273528806177e-60,4.0460690003303655e+20,8.503334697250534e-21,1.3846063160867485e-22,8.194263772781466e+21,2.5756312909964626e+18,4.7488939579018095e-25,2.354241959315813e-27,1.3176761819715328e-20,8.601446304105512e+21,8.503809586646317e-21,1.3315224805565938e-20
326236.8633474617,1.9756825719644384e+16,-3.676022982454609e-53,4.126905161115329e+20,5.1186889617135116e-17,9.747841549324604e-19,9.276779921145519e+21,2.575633789399317e+18,2.86197735297685e-21,1.6588819198580476e-23,9.319375178345138e-17,9.692046071046412e+21,5.11897515944882e-17,9.41685525272035e-17
392484.236016954,1.848751332068527e+16,-4.340956537363537e-47,4.208439819236856e+20,1.4548620746814248e-13,3.2273078125275857e-15,1.0493265147730407e+22,2.5756361623836785e+18,8.143621749989089e-18,5.497437258019862e-20,3.100854282125219e-13,1.0916684765816513e+22,1.454943510898926e-13,3.1331279099942226e-13
471981.0832203448,1.727772651297185e+16,-1.5127209349630436e-41,4.291001272540014e+20,2.0905672247054038e-10,5.381614130992983e-12,1.1858409873121705e+22,2.5756384240846725e+18,1.171479008213114e-14,9.176522094170875e-17,5.19870915433046e-10,1.2290085638799809e+22,2.0906843726062288e-10,5.252526213292598e-10
567377.2998644137,1.6120503372731814e+16,-1.7367078712752933e-36,4.37496884992883e+20,1.6170677141638292e-07,4.8135269656181955e-09,1.338770941055412e+22,2.5756405875176484e+18,9.071126239377771e-12,8.216932543012465e-14,4.6771523655913316e-07,1.382778193613448e+22,1.617158425426224e-07,4.7252884569407627e-07
681852.7598372964,1.5009334712093568e+16,-7.269355223959617e-32,4.460788953005185e+20,7.134569103519332e-05,2.4475760657401153e-06,1.5097172886818052e+22,2.5756426648515615e+18,4.006385558295301e-09,4.183124941249649e-11,0.00023933028033731266,1.5545827424783443e+22,7.134969742075153e-05,0.00024177789823430203
819223.3118047557,1.393804983728875e+16,-1.2184239248449088e-27,4.548994497696666e+20,0.018952026124116124,0.0007469422277777922,1.700285719836e+22,2.575644667622554e+18,1.0653270225914954e-06,1.2782336319972155e-08,0.07353878398690673,1.7460332292797324e+22,0.018953091451138687,0.07428573899702073
984067.9741657068,1.2900737639389382e+16,-8.927126154230864e-24,4.640228197297714e+20,3.1908505903264595,0.14404691406345424,1.912015971528849e+22,2.5756466068814664e+18,0.00017954238640653354,2.4684760051342944e-06,14.287089247224568,1.9586758181625174e+22,3.191030132712866,14.43113862976399
1181881.568998848,1.1891717470791074e+16,-3.1077408466602554e-20,4.73526920344006e+20,358.11417237028184,18.464761790056457,2.1462786779137e+22,2.5756484932482954e+18,0.0201700241144153,0.0003168957947561832,1846.0984642646904,2.193888934797433e+22,358.13434239439607,1864.5635429505337
