"arc_length","retention_mu","retention_c"
0.0034595,3.60846e+24,3.7921e+24
0.003468,3.65889e+24,3.84611e+24
0.0034765,3.71008e+24,3.90094e+24
0.003485,3.76201e+24,3.9566e+24
0.0034935,3.81471e+24,4.01309e+24
0.003502,3.86818e+24,4.07042e+24
0.0035105,3.92244e+24,4.12861e+24
0.003519,3.97749e+24,4.18767e+24
0.0035275,4.03335e+24,4.2476e+24
0.003536,4.09002e+24,4.30843e+24
0.0035445,4.14751e+24,4.37015e+24
0.003553,4.20584e+24,4.43279e+24
0.0035615,4.26501e+24,4.49635e+24
0.00357,4.32504e+24,4.56084e+24
0.0035785,4.38593e+24,4.62628e+24
0.003587,4.4477e+24,4.69267e+24
0.0035955,4.51035e+24,4.76003e+24
0.003604,4.57389e+24,4.82837e+24
0.0036125,4.63834e+24,4.8977e+24
0.003621,4.70371e+24,4.96802e+24
0.0036295,4.77e+24,5.03937e+24
0.003638,4.83722e+24,5.11173e+24
0.0036465,4.90539e+24,5.18512e+24
0.003655,4.97452e+24,5.25956e+24
0.0036635,5.04461e+24,5.33506e+24
0.003672,5.11567e+24,5.41162e+24
0.0036805,5.18772e+24,5.48926e+24
0.003689,5.26076e+24,5.56799e+24
0.0036975,5.33481e+24,5.64781e+24
0.003706,5.40987e+24,5.72875e+24
0.0037145,5.48596e+24,5.8108e+24
0.003723,5.56308e+24,5.89398e+24
0.0037315,5.64124e+24,5.9783e+24
0.00374,5.72045e+24,6.06377e+24
0.0037485,5.80072e+24,6.1504e+24
0.003757,5.88206e+24,6.2382e+24
0.0037655,5.96448e+24,6.32717e+24
0.003774,6.04798e+24,6.41733e+24
0.0037825,6.13258e+24,6.50869e+24
0.003791,6.21828e+24,6.60125e+24
0.0037995,6.3051e+24,6.69502e+24
0.003808,6.39303e+24,6.79002e+24
0.0038165,6.48209e+24,6.88625e+24
0.003825,6.57228e+24,6.98371e+24
0.0038335,6.66362e+24,7.08241e+24
0.003842,6.75611e+24,7.18237e+24
0.0038505,6.84974e+24,7.28359e+24
0.003859,6.94455e+24,7.38607e+24
0.0038675,7.04052e+24,7.48982e+24
0.003876,7.13766e+24,7.59485e+24
0.0038845,7.23598e+24,7.70115e+24
0.003893,7.33549e+24,7.80875e+24
0.0039015,7.43618e+24,7.91763e+24
0.00391,7.53808e+24,8.02782e+24
0.0039185,7.64116e+24,8.13929e+24
0.003927,7.74545e+24,8.25208e+24
0.0039355,7.85094e+24,8.36615e+24
0.003944,7.95764e+24,8.48154e+24
0.0039525,8.06556e+24,8.59825e+24
0.003961,8.17468e+24,8.71625e+24
0.0039695,8.28502e+24,8.83557e+24
0.003978,8.39657e+24,8.95619e+24
0.0039865,8.50934e+24,9.07812e+24
0.003995,8.62333e+24,9.20137e+24
0.0040035,8.73852e+24,9.32591e+24
0.004012,8.85495e+24,9.45176e+24
0.0040205,8.97257e+24,9.5789e+24
0.004029,9.09141e+24,9.70735e+24
0.0040375,9.21147e+24,9.83709e+24
0.004046,9.33271e+24,9.9681e+24
0.0040545,9.45518e+24,1.01004e+25
0.004063,9.57884e+24,1.0234e+25
0.0040715,9.70368e+24,1.03688e+25
0.00408,9.82972e+24,1.05049e+25
0.0040885,9.95693e+24,1.06422e+25
0.004097,1.00853e+25,1.07808e+25
0.0041055,1.02149e+25,1.09206e+25
0.004114,1.03456e+25,1.10616e+25
0.0041225,1.04775e+25,1.12039e+25
0.004131,1.06105e+25,1.13473e+25
0.0041395,1.07446e+25,1.14919e+25
0.004148,1.08799e+25,1.16376e+25
0.0041565,1.10162e+25,1.17845e+25
0.004165,1.11537e+25,1.19326e+25
0.0041735,1.12922e+25,1.20817e+25
0.004182,1.14318e+25,1.2232e+25
0.0041905,1.15725e+25,1.23833e+25
0.004199,1.17142e+25,1.25356e+25
0.0042075,1.18569e+25,1.26891e+25
0.004216,1.20007e+25,1.28435e+25
0.0042245,1.21454e+25,1.29989e+25
0.004233,1.2291e+25,1.31553e+25
0.0042415,1.24377e+25,1.33126e+25
0.00425,1.25852e+25,1.34708e+25
0.0042585,1.27337e+25,1.36299e+25
0.004267,1.28831e+25,1.37899e+25
0.0042755,1.30333e+25,1.39507e+25
0.004284,1.31843e+25,1.41124e+25
0.0042925,1.33362e+25,1.42748e+25
0.004301,1.34889e+25,1.4438e+25
0.0043095,1.36423e+25,1.46018e+25
0.004318,1.37965e+25,1.47664e+25
0.0043265,1.39514e+25,1.49316e+25
0.004335,1.4107e+25,1.50974e+25
0.0043435,1.42633e+25,1.52639e+25
0.004352,1.44201e+25,1.54308e+25
0.0043605,1.45776e+25,1.55983e+25
0.004369,1.47357e+25,1.57663e+25
0.0043775,1.48943e+25,1.59347e+25
0.004386,1.50534e+25,1.61035e+25
0.0043945,1.5213e+25,1.62727e+25
0.004403,1.5373e+25,1.64422e+25
0.0044115,1.55335e+25,1.6612e+25
0.00442,1.56943e+25,1.67821e+25
0.0044285,1.58555e+25,1.69523e+25
0.004437,1.6017e+25,1.71228e+25
0.0044455,1.61788e+25,1.72933e+25
0.004454,1.63408e+25,1.7464e+25
0.0044625,1.6503e+25,1.76347e+25
0.004471,1.66654e+25,1.78054e+25
0.0044795,1.6828e+25,1.79761e+25
0.004488,1.69906e+25,1.81467e+25
0.0044965,1.71533e+25,1.83172e+25
0.004505,1.73161e+25,1.84876e+25
0.0045135,1.74788e+25,1.86577e+25
0.004522,1.76415e+25,1.88276e+25
0.0045305,1.7804e+25,1.89972e+25
0.004539,1.79665e+25,1.91664e+25
0.0045475,1.81288e+25,1.93353e+25
0.004556,1.82909e+25,1.95038e+25
0.0045645,1.84528e+25,1.96719e+25
0.004573,1.86144e+25,1.98394e+25
0.0045815,1.87757e+25,2.00064e+25
0.00459,1.89367e+25,2.01728e+25
0.0045985,1.90972e+25,2.03386e+25
0.004607,1.92574e+25,2.05038e+25
0.0046155,1.94171e+25,2.06682e+25
0.004624,1.95763e+25,2.08319e+25
0.0046325,1.97349e+25,2.09949e+25
0.004641,1.9893e+25,2.1157e+25
0.0046495,2.00505e+25,2.13183e+25
0.004658,2.02074e+25,2.14787e+25
0.0046665,2.03636e+25,2.16381e+25
0.004675,2.05191e+25,2.17966e+25
0.0046835,2.06738e+25,2.19541e+25
0.004692,2.08278e+25,2.21106e+25
0.0047005,2.0981e+25,2.2266e+25
0.004709,2.11333e+25,2.24204e+25
0.0047175,2.12848e+25,2.25736e+25
