t(s),Flux surface 9: solute,Flux surface 10: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
11178947.792808479,4307954328537904.0,-66076480797.608406,8.979165240449325e+18,5.430856740501514e+17,1.64528989145553e+18,6.387359152126291e+20,0.0,27649232700671.27,28037221633667.39,1.6598213539933156e+20,6.477150804530851e+20,5.431133232828526e+17,1.6762745332800864e+20
11628484.673233354,4307675027487845.5,-82674637499.92532,8.995514748721709e+18,5.550713184102223e+17,1.7372331020516634e+18,6.459130436511033e+20,0.0,28294794960945.887,29656960056378.01,1.7705385032650936e+20,6.54908558399822e+20,5.550996132051833e+17,1.7879111308552163e+20
12100498.397679474,4307408260833866.5,-102078225118.94188,9.011632553594786e+18,5.664127685365356e+17,1.8331198900003374e+18,6.531712557632653e+20,0.0,28904063923370.24,31350091161954.863,1.8875219345787532e+20,6.621828883168546e+20,5.6644167260045843e+17,1.9058534469796685e+20
12550035.27810435,4307175194071587.5,-122272397532.55806,9.026251434929087e+18,5.782361303092253e+17,1.9241286824064804e+18,6.598197866148494e+20,0.0,29546107029360.703,32960379200184.863,1.999825223119723e+20,6.688460380497796e+20,5.782656764162538e+17,2.0190668395475747e+20
13022049.00255047,4306950862301368.0,-145261606898.411,9.040722137423487e+18,5.886665856717531e+17,2.0190271176057871e+18,6.665659468341137e+20,0.0,30105752587153.605,34643048618998.824,2.118335009757167e+20,6.756066689715359e+20,5.886966914243402e+17,2.138525627363711e+20
13517663.413218895,4306735292190851.5,-171235349646.29965,9.055081774514895e+18,5.999707444142409e+17,2.1180860259030902e+18,6.733929899625479e+20,0.0,30717787270298.754,36403194638386.164,2.2435128678340185e+20,6.824480717370613e+20,6.00001462201511e+17,2.2646940921249894e+20
13989677.137665015,4306545878357993.0,-197516427668.06683,9.068157242070812e+18,6.113768469593357e+17,2.2120966015214584e+18,6.796571749882318e+20,0.0,31339993146763.973,38076786711695.266,2.3635583661463293e+20,6.887253322303004e+20,6.114081869524812e+17,2.3856797129294106e+20
14485291.54833344,4306362608199557.0,-226668946240.90588,9.081107121708241e+18,6.2076473116127e+17,2.310005063346006e+18,6.860404782067029e+20,0.0,31841623294496.457,39823235426172.94,2.4899923246978626e+20,6.951215853284186e+20,6.207965727845654e+17,2.513092773563687e+20
14957305.27277956,4306200850555277.0,-255721740236.87076,9.092891324440964e+18,6.308011900742226e+17,2.4027846227223823e+18,6.919256350800275e+20,0.0,32387353226877.453,41481129591405.36,2.6109887917934808e+20,7.010185264044662e+20,6.308335774274511e+17,2.6350170528320058e+20
15452919.683447985,4306043549935304.5,-287503020512.1881,9.104728718294612e+18,6.421843858812219e+17,2.4999004586718843e+18,6.978808717753608e+20,0.0,33012502242749.848,43219551442610.02,2.7388739291153282e+20,7.069856004936558e+20,6.422173983834655e+17,2.76387336589756e+20
15973314.814649832,4305890758114991.5,-322117796488.2335,9.116499928751306e+18,6.511787086052553e+17,2.6010351740308997e+18,7.039626858339973e+20,0.0,33493067810299.195,45033302617222.99,2.87346159052044e+20,7.130791857627426e+20,6.512122016730655e+17,2.899472392593775e+20
16519729.70241177,4305742665892676.0,-359654894532.3624,9.128209401066685e+18,6.612011900539538e+17,2.706502931019079e+18,7.101506904178844e+20,0.0,34035150875540.496,46928259314896.13,3.015273136490397e+20,7.192788998189583e+20,6.612352252048284e+17,3.0423386350831796e+20
17040124.83361362,4305611654330071.0,-396338979209.3448,9.138913980126442e+18,6.725722588385206e+17,2.8066892176335273e+18,7.158303892728733e+20,0.0,34663625612645.84,48731260174768.87,3.151184760676554e+20,7.249693032529972e+20,6.726069224641327e+17,3.179252140165488e+20
17586539.72137556,4305484030889666.5,-435723359367.12933,9.149624238666428e+18,6.819642836871852e+17,2.9111592172599255e+18,7.216263573848283e+20,0.0,35170687536195.496,50614635216629.16,3.294290342904364e+20,7.307759816234948e+20,6.819994543747212e+17,3.323402441223305e+20
18160275.353525594,4305359855914179.0,-477856646507.6637,9.160330829052071e+18,6.906879296376609e+17,3.019916523941449e+18,7.275577300436208e+20,0.0,35635884674971.4,52578792763393.414,3.4447595278854285e+20,7.367180608726699e+20,6.907235655223363e+17,3.474959218912775e+20
18706690.241287533,4305249525503999.0,-518552978099.4034,9.170116144991425e+18,7.014560097620009e+17,3.1231666352153293e+18,7.330142244716889e+20,0.0,36230854570463.74,54446368240457.54,3.5888056466632966e+20,7.421843406166835e+20,7.014922406165706e+17,3.620037857479131e+20
19280425.87343757,4305141669204065.0,-561759249091.8353,9.179879225038933e+18,7.120876365960799e+17,3.231118896297739e+18,7.385563710877841e+20,0.0,36816261928379.14,56402133477803.125,3.7407327305889205e+20,7.477362503128235e+20,7.121244528580083e+17,3.773044483573232e+20
19882848.287195105,4305036550346768.0,-607491374428.37,9.189670545623166e+18,7.204543044827409e+17,3.343483658442439e+18,7.442426218170851e+20,0.0,37260934950684.97,58441322946028.805,3.90037545536791e+20,7.534322923627067e+20,7.204915654176918e+17,3.9338108763655674e+20
20515391.82164052,4304934062440743.5,-655747859138.1805,9.199558019653243e+18,7.302294211245462e+17,3.4606795690027387e+18,7.500426452625768e+20,0.0,37790627824365.21,60571742065327.55,4.068409245590274e+20,7.592422032822281e+20,7.3026721175237e+17,4.103016646997726e+20
21117814.235398058,4304842720541605.0,-701797103908.7761,9.20857226673593e+18,7.413948456059254e+17,3.571989924186487e+18,7.553723475901782e+20,0.0,38411466470348.266,62598173636399.27,4.229257777808981e+20,7.645809198569161e+20,7.414332570723959e+17,4.2649783030325825e+20
