"arc_length","solute_mu","solute_c"
0.001832,8.40034e+18,3.13669e+19
0.001836,8.20034e+18,3.12171e+19
0.00184,8.00035e+18,3.10672e+19
0.001844,7.80035e+18,3.09174e+19
0.001848,7.60035e+18,3.07675e+19
0.001852,7.40035e+18,3.06177e+19
0.001856,7.20035e+18,3.04678e+19
0.00186,7.00035e+18,3.0318e+19
0.001864,6.80035e+18,3.01681e+19
0.001868,6.60035e+18,3.00183e+19
0.001872,6.40036e+18,2.98684e+19
0.001876,6.20035e+18,2.97186e+19
0.00188,6.00035e+18,2.95687e+19
0.001884,5.80035e+18,2.94188e+19
0.001888,5.60036e+18,2.9269e+19
0.001892,5.40036e+18,2.91191e+19
0.001896,5.20036e+18,2.89693e+19
0.0019,5.00036e+18,2.88194e+19
0.001904,4.80036e+18,2.86696e+19
0.001908,4.60036e+18,2.85197e+19
0.001912,4.40036e+18,2.83699e+19
0.001916,4.20037e+18,2.822e+19
0.00192,4.00036e+18,2.80702e+19
0.001924,3.80036e+18,2.79203e+19
0.001928,3.60036e+18,2.77705e+19
0.001932,3.40037e+18,2.76206e+19
0.001936,3.20036e+18,2.74708e+19
0.00194,3.00036e+18,2.73209e+19
0.001944,2.80037e+18,2.7171e+19
0.001948,2.60037e+18,2.70212e+19
0.001952,2.40037e+18,2.68713e+19
0.001956,2.20037e+18,2.67215e+19
0.00196,2.00037e+18,2.65716e+19
0.001964,1.80038e+18,2.64218e+19
0.001968,1.60038e+18,2.62719e+19
0.001972,1.40038e+18,2.61221e+19
0.001976,1.20037e+18,2.59722e+19
0.00198,1.00037e+18,2.58224e+19
0.001984,8.00367e+17,2.56725e+19
0.001988,6.0038e+17,2.55227e+19
0.001992,4.0038e+17,2.53728e+19
0.001996,2.00381e+17,2.52229e+19
0.002,3.34633e+19,2.50731e+19
0.002004,3.33964e+19,2.50229e+19
0.002008,3.33294e+19,2.49728e+19
0.002012,3.32625e+19,2.49227e+19
0.002016,3.31956e+19,2.48725e+19
0.00202,3.31287e+19,2.48224e+19
0.002024,3.30617e+19,2.47722e+19
0.002028,3.29948e+19,2.47221e+19
0.002032,3.29279e+19,2.46719e+19
0.002036,3.28609e+19,2.46218e+19
0.00204,3.2794e+19,2.45716e+19
0.002044,3.27271e+19,2.45215e+19
0.002048,3.26602e+19,2.44713e+19
0.002052,3.25932e+19,2.44212e+19
0.002056,3.25263e+19,2.4371e+19
0.00206,3.24594e+19,2.43209e+19
0.002064,3.23925e+19,2.42708e+19
0.002068,3.23255e+19,2.42206e+19
0.002072,3.22586e+19,2.41705e+19
0.002076,3.21917e+19,2.41203e+19
0.00208,3.21248e+19,2.40702e+19
0.002084,3.20578e+19,2.402e+19
0.002088,3.19909e+19,2.39699e+19
0.002092,3.1924e+19,2.39197e+19
0.002096,3.1857e+19,2.38696e+19
0.0021,3.17901e+19,2.38194e+19
0.002104,3.17232e+19,2.37693e+19
0.002108,3.16563e+19,2.37191e+19
0.002112,3.15893e+19,2.3669e+19
0.002116,3.15224e+19,2.36189e+19
0.00212,3.14555e+19,2.35687e+19
0.002124,3.13886e+19,2.35186e+19
0.002128,3.13216e+19,2.34684e+19
0.002132,3.12547e+19,2.34183e+19
0.002136,3.11878e+19,2.33681e+19
0.00214,3.11209e+19,2.3318e+19
0.002144,3.10539e+19,2.32678e+19
0.002148,3.0987e+19,2.32177e+19
0.002152,3.09201e+19,2.31675e+19
0.002156,3.08531e+19,2.31174e+19
0.00216,3.07862e+19,2.30672e+19
0.002164,3.07193e+19,2.30171e+19
0.002168,3.06524e+19,2.2967e+19
0.002172,3.05854e+19,2.29168e+19
0.002176,3.05185e+19,2.28667e+19
0.00218,3.04516e+19,2.28165e+19
0.002184,3.03847e+19,2.27664e+19
0.002188,3.03177e+19,2.27162e+19
0.002192,3.02508e+19,2.26661e+19
0.002196,3.01839e+19,2.26159e+19
0.0022,3.0117e+19,2.25658e+19
0.002204,3.005e+19,2.25156e+19
0.002208,2.99831e+19,2.24655e+19
0.002212,2.99162e+19,2.24153e+19
0.002216,2.98492e+19,2.23652e+19
0.00222,2.97823e+19,2.23151e+19
0.002224,2.97154e+19,2.22649e+19
0.002228,2.96485e+19,2.22148e+19
0.002232,2.95815e+19,2.21646e+19
0.002236,2.95146e+19,2.21145e+19
0.00224,2.94477e+19,2.20643e+19
0.002244,2.93808e+19,2.20142e+19
0.002248,2.93138e+19,2.1964e+19
0.002252,2.92469e+19,2.19139e+19
0.002256,2.918e+19,2.18637e+19
0.00226,2.91131e+19,2.18136e+19
0.002264,2.90461e+19,2.17634e+19
0.002268,2.89792e+19,2.17133e+19
0.002272,2.89123e+19,2.16632e+19
0.002276,2.88454e+19,2.1613e+19
0.00228,2.87784e+19,2.15629e+19
0.002284,2.87115e+19,2.15127e+19
0.002288,2.86446e+19,2.14626e+19
0.002292,2.85776e+19,2.14124e+19
0.002296,2.85107e+19,2.13623e+19
0.0023,2.84438e+19,2.13121e+19
0.002304,2.83769e+19,2.1262e+19
0.002308,2.83099e+19,2.12118e+19
0.002312,2.8243e+19,2.11617e+19
0.002316,2.81761e+19,2.11115e+19
0.00232,2.81092e+19,2.10614e+19
0.002324,2.80422e+19,2.10113e+19
0.002328,2.79753e+19,2.09611e+19
0.002332,2.79084e+19,2.0911e+19
0.002336,2.78415e+19,2.08608e+19
0.00234,2.77745e+19,2.08107e+19
0.002344,2.77076e+19,2.07605e+19
0.002348,2.76407e+19,2.07104e+19
0.002352,2.75737e+19,2.06602e+19
0.002356,2.75068e+19,2.06101e+19
0.00236,2.74399e+19,2.05599e+19
0.002364,2.7373e+19,2.05098e+19
0.002368,2.7306e+19,2.04596e+19
0.002372,2.72391e+19,2.04095e+19
0.002376,2.71722e+19,2.03593e+19
0.00238,2.71053e+19,2.03092e+19
0.002384,2.70383e+19,2.02591e+19
0.002388,2.69714e+19,2.02089e+19
0.002392,2.69045e+19,2.01588e+19
0.002396,2.68376e+19,2.01086e+19
0.0024,2.67706e+19,2.00585e+19
0.002404,2.67037e+19,2.00083e+19
0.002408,2.66368e+19,1.99582e+19
0.002412,2.65698e+19,1.9908e+19
0.002416,2.65029e+19,1.98579e+19
0.00242,2.6436e+19,1.98077e+19
0.002424,2.63691e+19,1.97576e+19
0.002428,2.63021e+19,1.97075e+19
0.002432,2.62352e+19,1.96573e+19
0.002436,2.61683e+19,1.96072e+19
0.00244,2.61014e+19,1.9557e+19
0.002444,2.60344e+19,1.95069e+19
0.002448,2.59675e+19,1.94567e+19
0.002452,2.59006e+19,1.94066e+19
0.002456,2.58337e+19,1.93564e+19
0.00246,2.57667e+19,1.93063e+19
0.002464,2.56998e+19,1.92561e+19
0.002468,2.56329e+19,1.9206e+19
0.002472,2.55659e+19,1.91558e+19
0.002476,2.5499e+19,1.91057e+19
0.00248,2.54321e+19,1.90556e+19
0.002484,2.53652e+19,1.90054e+19
0.002488,2.52982e+19,1.89553e+19
0.002492,2.52313e+19,1.89051e+19
0.002496,2.51644e+19,1.8855e+19
0.0025,2.50975e+19,1.88048e+19
0.002504,2.50305e+19,1.87547e+19
0.002508,2.49636e+19,1.87045e+19
0.002512,2.48967e+19,1.86544e+19
0.002516,2.48298e+19,1.86042e+19
0.00252,2.47628e+19,1.85541e+19
0.002524,2.46959e+19,1.85039e+19
0.002528,2.4629e+19,1.84538e+19
0.002532,2.4562e+19,1.84036e+19
0.002536,2.44951e+19,1.83535e+19
0.00254,2.44282e+19,1.83034e+19
0.002544,2.43613e+19,1.82532e+19
0.002548,2.42943e+19,1.82031e+19
0.002552,2.42274e+19,1.81529e+19
0.002556,2.41605e+19,1.81028e+19
0.00256,2.40936e+19,1.80526e+19
0.002564,2.40266e+19,1.80025e+19
0.002568,2.39597e+19,1.79523e+19
0.002572,2.38928e+19,1.79022e+19
0.002576,2.38259e+19,1.7852e+19
0.00258,2.37589e+19,1.78019e+19
0.002584,2.3692e+19,1.77517e+19
0.002588,2.36251e+19,1.77016e+19
0.002592,2.35581e+19,1.76515e+19
0.002596,2.34912e+19,1.76013e+19
0.0026,2.34243e+19,1.75512e+19
0.002604,2.33574e+19,1.7501e+19
0.002608,2.32904e+19,1.74509e+19
0.002612,2.32235e+19,1.74007e+19
0.002616,2.31566e+19,1.73506e+19
0.00262,2.30897e+19,1.73004e+19
0.002624,2.30227e+19,1.72503e+19
0.002628,2.29558e+19,1.72001e+19
0.002632,2.28889e+19,1.715e+19
0.002636,2.2822e+19,1.70998e+19
0.00264,2.2755e+19,1.70497e+19
0.002644,2.26881e+19,1.69996e+19
0.002648,2.26212e+19,1.69494e+19
0.002652,2.25542e+19,1.68993e+19
0.002656,2.24873e+19,1.68491e+19
